# How far each unfinished scene is allowed to be from the shipped toolkit.
#
# A scene listed here is one the toolkit does not yet draw the way the shipped one does, or one
# it draws differently on purpose. It cannot pass, so it would otherwise go unchecked and a change
# could take it from a few pixels out to half the picture without anything noticing.
#
# Each line records what the scene came to when it was last looked at, and the check fails when a
# scene grows past it. A scene that shrinks is reported rather than failed, and the number here is
# then out of date: bring it down, so that the ground it gained cannot be given back.
#
# scene = pixels only the shipped toolkit drew, pixels only we drew, pixels shaded differently
BareHorizon = 0, 0, 21
BedHorizon = 0, 0, 116
BlackBacked = 0, 0, 155
BlendedGround = 0, 0, 3188
FoggedDock = 0, 0, 166
FoggedHorizon = 0, 0, 1167
GlaringWater = 0, 0, 27
HollowPlan = 0, 0, 54
OverlaidPlan = 16, 0, 207
OverlaidWaterDock = 0, 0, 137
SeenThrough = 0, 0, 21
SeenThroughDock = 0, 0, 137
Stairs = 0, 0, 245
TexturedGround = 0, 0, 2691
Underwater = 0, 0, 7
WaterOverNoBed = 0, 0, 43
Watered = 0, 0, 43
WateredDock = 0, 0, 137
WateredHorizon = 0, 0, 210
